CH_SERIAL_NUMBER,GEM_NUM,POSITION,CH_TYPE,FLIP,AMC,OH,FLOW_METER,RUN_NUMBER
GE1/1-X-S-BARI-0010,11119,5/2/T,S,0,4,11,3.1,218
GE1/1-X-L-CERN-0009,11201,1/1/B,L,0,2,2,2.8,218
GE1/1-X-L-GHENT-0002,11101,1/1/T,L,0,2,3,2.8,218
GE1/1-X-L-GHENT-0007,11203,2/1/B,L,0,2,4,0.8,218
GE1/1-X-L-CERN-0014,11103,2/1/T,L,0,2,5,0.8,218
GE1/1-X-L-PAK-0006,11205,3/1/B,L,0,2,6,3.3,218
GE1/1-X-L-PAK-0007,11105,3/1/T,L,0,2,7,3.3,218
GE1/1-X-L-GHENT-0013,11207,4/1/B,L,0,2,8,2.7,218
GE1/1-X-L-CERN-0028,11107,4/1/T,L,0,2,9,2.7,218
GE1/1-X-L-GHENT-0006,11209,5/1/B,L,0,2,10,2.7,218
GE1/1-X-L-CERN-0027,11109,5/1/T,L,0,2,11,2.7,218
GE1/1-X-S-BARI-0016,11211,1/2/B,S,0,4,2,2.9,218
GE1/1-X-S-BARI-0002,11111,1/2/T,S,0,4,3,2.9,218
GE1/1-X-S-CERN-0008,11213,2/2/B,L,0,4,4,2.9,218
GE1/1-X-S-INDIA-0007,11113,2/2/T,L,0,4,5,2.9,218
GE1/1-X-S-CERN-0009,11215,3/2/B,L,0,4,6,2.9,218
GE1/1-X-S-CERN-0010,11115,3/2/T,L,0,4,7,2.9,218
GE1/1-X-S-FIT-0001,11217,4/2/B,L,0,4,8,2.9,218
GE1/1-X-S-BARI-0005,11117,4/2/T,L,0,4,9,2.9,218
GE1/1-X-S-BARI-0009,11219,5/2/B,S,0,4,10,3.1,218
